id;groupe_name;start_date;end_date;saison;category
1;mobile Fish;2019-12-17T01:38:33;2019-12-17T05:59:14;Table Computer;BENJAMIN
2;Metal deposit;2019-12-17T19:00:04;2019-12-16T21:04:39;parsing red Chips;JUNIOR
3;Grocery Home;2019-12-17T07:45:38;2019-12-17T05:40:14;Steel zero administration;JUNIOR
4;syndicate;2019-12-16T20:45:28;2019-12-17T06:08:14;Refined Rubber Chicken Table;MASTER
5;South Dakota envisioneer Music;2019-12-17T14:48:49;2019-12-17T03:56:01;infomediaries;SENIOR
6;Salad;2019-12-17T10:58:11;2019-12-17T14:08:39;invoice;POUSIN
7;Georgia Industrial;2019-12-17T00:08:25;2019-12-17T01:45:07;Markets Chief;MINIME
8;Aruba;2019-12-16T21:17:13;2019-12-17T12:32:50;scale interactive generating;POUSIN
9;scalable;2019-12-17T16:23:19;2019-12-17T18:33:57;Administrator;POUSIN
10;monitor 1080p Checking Account;2019-12-16T22:07:26;2019-12-17T11:45:07;Frozen IB;BENJAMIN
